entity_type,entity_name,relation,template,correct_answer
disease,Dzierzynsky syndrome,was first identified by,The disease Dzierzynsky syndrome was first identified by ,Władysław Dzierżyński
disease,Curtius syndrome,was first identified by,The disease Curtius syndrome was first identified by ,Friedrich Curtius
disease,Unverricht-Lundborg syndrome,was first identified by,The disease Unverricht-Lundborg syndrome was first identified by ,Herman Bernhard Lundborg
disease,DiGeorge syndrome,was first identified by,The disease DiGeorge syndrome was first identified by ,Angelo DiGeorge
disease,zoochosis,was first identified by,The disease zoochosis was first identified by ,Bill Travers
disease,factitious disorder imposed on another,was first identified by,The disease factitious disorder imposed on another was first identified by ,Roy Meadow
disease,Edwards syndrome,was first identified by,The disease Edwards syndrome was first identified by ,John H. Edwards
disease,chronic cerebrospinal venous insufficiency,was first identified by,The disease chronic cerebrospinal venous insufficiency was first identified by ,Paolo Zamboni
disease,Gitelman syndrome,was first identified by,The disease Gitelman syndrome was first identified by ,Hillel Jonathan Gitelman
disease,Kabuki syndrome,was first identified by,The disease Kabuki syndrome was first identified by ,Norio Niikawa
disease,compensation,was first identified by,The disease compensation was first identified by ,Alfred Adler
disease,van Leeuwenhoek's disease,was first identified by,The disease van Leeuwenhoek's disease was first identified by ,Antoni van Leeuwenhoek
disease,Babinski–Nageotte syndrome,was first identified by,The disease Babinski–Nageotte syndrome was first identified by ,Joseph Babinski
disease,equine infectious anemia,was first identified by,The disease equine infectious anemia was first identified by ,Henri Carré
disease,slipping rib syndrome,was first identified by,The disease slipping rib syndrome was first identified by ,Edgar Ferdinand Cyriax
disease,Lemierre's syndrome,was first identified by,The disease Lemierre's syndrome was first identified by ,André Lemierre
disease,Alice in Wonderland syndrome,was first identified by,The disease Alice in Wonderland syndrome was first identified by ,Raoul Leroy
disease,Todd's paresis,was first identified by,The disease Todd's paresis was first identified by ,Robert Bentley Todd
disease,Flammer syndrome,was first identified by,The disease Flammer syndrome was first identified by ,Josef Flammer
disease,Böök syndrome,was first identified by,The disease Böök syndrome was first identified by ,Jan Arvid Böök
disease,diverticulum of Kommerell,was first identified by,The disease diverticulum of Kommerell was first identified by ,Friedrich Burkhard Kommerell
disease,Rett syndrome,was first identified by,The disease Rett syndrome was first identified by ,Andreas Rett
disease,Skumin syndrome,was first identified by,The disease Skumin syndrome was first identified by ,Victor Skumin
disease,hay fever in Japan,was first identified by,The disease hay fever in Japan was first identified by ,Yōzō Saitō
disease,Morbid rationalism,was first identified by,The disease Morbid rationalism was first identified by ,Eugène Minkowski
disease,Paris syndrome,was first identified by,The disease Paris syndrome was first identified by ,Hiroaki Ota
disease,Mobius syndrome,was first identified by,The disease Mobius syndrome was first identified by ,Paul Julius Möbius
disease,Bruns' syndrome,was first identified by,The disease Bruns' syndrome was first identified by ,Ludwig Bruns
disease,moral insanity,was first identified by,The disease moral insanity was first identified by ,James Cowles Prichard
disease,deafness-small bowel diverticulosis-neuropathy syndrome,was first identified by,The disease deafness-small bowel diverticulosis-neuropathy syndrome was first identified by ,Basil Hirschowitz
disease,canine distemper,was first identified by,The disease canine distemper was first identified by ,Henri Carré
disease,Q11794721,was first identified by,The disease Q11794721 was first identified by ,Gustav Aschaffenburg
disease,Tension myositis syndrome,was first identified by,The disease Tension myositis syndrome was first identified by ,John E. Sarno
disease,Geschwind syndrome,was first identified by,The disease Geschwind syndrome was first identified by ,Norman Geschwind
disease,paragnomen,was first identified by,The disease paragnomen was first identified by ,Eugeniusz Brzezicki
disease,surra,was first identified by,The disease surra was first identified by ,Griffith Evans
disease,Jackson's syndrome,was first identified by,The disease Jackson's syndrome was first identified by ,John Hughlings Jackson
disease,Q29982029,was first identified by,The disease Q29982029 was first identified by ,Hans-Georg Boenninghaus
disease,congenital rubella syndrome,was first identified by,The disease congenital rubella syndrome was first identified by ,Norman Gregg
disease,multiple sclerosis,was first identified by,The disease multiple sclerosis was first identified by ,Jean-Martin Charcot
disease,alternate asphygmo-pyramidal syndrome,was first identified by,The disease alternate asphygmo-pyramidal syndrome was first identified by ,Ion N. Petrovici
disease,hereditary spastic paraplegia 23,was first identified by,The disease hereditary spastic paraplegia 23 was first identified by ,Adnan Abdallat
disease,Wartenberg's Syndrome,was first identified by,The disease Wartenberg's Syndrome was first identified by ,Robert Wartenberg
disease,thrombotic thrombocytopenic purpura,was first identified by,The disease thrombotic thrombocytopenic purpura was first identified by ,Eli Moschcowitz
disease,3-methylglutaconic aciduria type 3,was first identified by,The disease 3-methylglutaconic aciduria type 3 was first identified by ,Hanan Costeff
disease,crossed syndrome,was first identified by,The disease crossed syndrome was first identified by ,Vladimir Janda
disease,amentia,was first identified by,The disease amentia was first identified by ,Theodor Meynert
disease,Tay-Sachs disease,was first identified by,The disease Tay-Sachs disease was first identified by ,Bernard Sachs
disease,Takayasu's arteritis,was first identified by,The disease Takayasu's arteritis was first identified by ,Mikito Takayasu
disease,associated phoria,was first identified by,The disease associated phoria was first identified by ,Hans-Joachim Haase
disease,Herman's syndrome,was first identified by,The disease Herman's syndrome was first identified by ,Eufemiusz Herman
disease,Farber lipogranulomatosis,was first identified by,The disease Farber lipogranulomatosis was first identified by ,Sidney Farber
disease,Nonne-Marie syndrome,was first identified by,The disease Nonne-Marie syndrome was first identified by ,Max Nonne
disease,Kaposi's sarcoma,was first identified by,The disease Kaposi's sarcoma was first identified by ,Mór Kaposi
disease,overvalued idea,was first identified by,The disease overvalued idea was first identified by ,Carl Wernicke
disease,Zuckerschleim,was first identified by,The disease Zuckerschleim was first identified by ,Moshe ben Maimon
disease,syringomyelia,was first identified by,The disease syringomyelia was first identified by ,Otto Kahler
disease,Sjögren's syndrome,was first identified by,The disease Sjögren's syndrome was first identified by ,Henrik Sjögren
disease,Tumoral calcinosis,was first identified by,The disease Tumoral calcinosis was first identified by ,Otto Teutschländer
disease,Jacobsen syndrome,was first identified by,The disease Jacobsen syndrome was first identified by ,Petra Jacobsen
disease,Nothnagel's syndrome,was first identified by,The disease Nothnagel's syndrome was first identified by ,Hermann Nothnagel
disease,Lasthenie de Ferjol syndrome,was first identified by,The disease Lasthenie de Ferjol syndrome was first identified by ,Jean Bernard
disease,Divry-Van Bogaert syndrome,was first identified by,The disease Divry-Van Bogaert syndrome was first identified by ,Ludo van Bogaert
disease,malaria,was first identified by,The disease malaria was first identified by ,Ronald Ross
disease,Freiberg disease,was first identified by,The disease Freiberg disease was first identified by ,Alfred H. Freiberg
disease,granular corneal dystrophy type I,was first identified by,The disease granular corneal dystrophy type I was first identified by ,Arthur Groenouw
disease,Becker myotonia,was first identified by,The disease Becker myotonia was first identified by ,Peter Emil Becker
disease,opsoclonus myoclonus syndrome,was first identified by,The disease opsoclonus myoclonus syndrome was first identified by ,Marcel Kinsbourne
disease,Marion's disease,was first identified by,The disease Marion's disease was first identified by ,Georges Marion
disease,Robinow syndrome,was first identified by,The disease Robinow syndrome was first identified by ,Meinhard Robinow
disease,Angelman syndrome,was first identified by,The disease Angelman syndrome was first identified by ,Harry Angelman
disease,Strauss Syndrom,was first identified by,The disease Strauss Syndrom was first identified by ,Alfred Strauss
disease,Hunter-McAlpine craniosynostosis,was first identified by,The disease Hunter-McAlpine craniosynostosis was first identified by ,Clarke Fraser
disease,hh blood group,was first identified by,The disease hh blood group was first identified by ,Mujibur Rahman
disease,Leontiasis ossea,was first identified by,The disease Leontiasis ossea was first identified by ,Rudolf Virchow
disease,Toroku arsenic disease,originated in,The disease Toroku arsenic disease originated in ,Takachiho
disease,Fragments,originated in,The disease Fragments originated in ,Frankfurt
disease,dystonia 12,is caused by a mutation in the gene named,The disease dystonia 12 is caused by a mutation in the gene named ,ATP1A3
disease,Bardet-Biedl syndrome 15,is caused by a mutation in the gene named,The disease Bardet-Biedl syndrome 15 is caused by a mutation in the gene named ,WDPCP
disease,spinocerebellar ataxia type 28,is caused by a mutation in the gene named,The disease spinocerebellar ataxia type 28 is caused by a mutation in the gene named ,AFG3L2
disease,Curry-Jones syndrome,is caused by a mutation in the gene named,The disease Curry-Jones syndrome is caused by a mutation in the gene named ,SMO
disease,retinal dystrophy and obesity,is caused by a mutation in the gene named,The disease retinal dystrophy and obesity is caused by a mutation in the gene named ,TUB
disease,cognitive impairment with or without cerebellar ataxia,is caused by a mutation in the gene named,The disease cognitive impairment with or without cerebellar ataxia is caused by a mutation in the gene named ,SCN8A
disease,autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity,is caused by a mutation in the gene named,The disease autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity is caused by a mutation in the gene named ,FCGR3A
disease,C syndrome,is caused by a mutation in the gene named,The disease C syndrome is caused by a mutation in the gene named ,CD96
disease,bare lymphocyte syndrome 2,is caused by a mutation in the gene named,The disease bare lymphocyte syndrome 2 is caused by a mutation in the gene named ,CIITA
disease,phosphoenolpyruvate carboxykinase deficiency,is caused by a mutation in the gene named,The disease phosphoenolpyruvate carboxykinase deficiency is caused by a mutation in the gene named ,PCK1
disease,autosomal dominant sideroblastic anemia,is caused by a mutation in the gene named,The disease autosomal dominant sideroblastic anemia is caused by a mutation in the gene named ,HSPA9
disease,lissencephaly 6 with microcephaly,is caused by a mutation in the gene named,The disease lissencephaly 6 with microcephaly is caused by a mutation in the gene named ,KATNB1
disease,optic atrophy 7,is caused by a mutation in the gene named,The disease optic atrophy 7 is caused by a mutation in the gene named ,TMEM126A
disease,tuberous sclerosis,is caused by a mutation in the gene named,The disease tuberous sclerosis is caused by a mutation in the gene named ,TSC1
disease,progeroid features-hepatocellular carcinoma predisposition syndrome,is caused by a mutation in the gene named,The disease progeroid features-hepatocellular carcinoma predisposition syndrome is caused by a mutation in the gene named ,SPRTN
disease,spermatogenesis arrest,is caused by a mutation in the gene named,The disease spermatogenesis arrest is caused by a mutation in the gene named ,SYCP3
disease,nephrotic syndrome-deafness-pretibial epidermolysis bullosa syndrome,is caused by a mutation in the gene named,The disease nephrotic syndrome-deafness-pretibial epidermolysis bullosa syndrome is caused by a mutation in the gene named ,CD151
disease,Miyoshi muscular dystrophy 3,is caused by a mutation in the gene named,The disease Miyoshi muscular dystrophy 3 is caused by a mutation in the gene named ,ANO5
disease,hereditary thrombophilia due to congenital histidine-rich (poly-L) glycoprotein deficiency,is caused by a mutation in the gene named,The disease hereditary thrombophilia due to congenital histidine-rich (poly-L) glycoprotein deficiency is caused by a mutation in the gene named ,HRG
disease,osteogenesis imperfecta type 12,is caused by a mutation in the gene named,The disease osteogenesis imperfecta type 12 is caused by a mutation in the gene named ,SP7
disease,"epileptic encephalopathy, early infantile, 28",is caused by a mutation in the gene named,"The disease epileptic encephalopathy, early infantile, 28 is caused by a mutation in the gene named ",WWOX
disease,MEND syndrome,is caused by a mutation in the gene named,The disease MEND syndrome is caused by a mutation in the gene named ,EBP
disease,"deafness with labyrinthine aplasia, microtia, and microdontia",is caused by a mutation in the gene named,"The disease deafness with labyrinthine aplasia, microtia, and microdontia is caused by a mutation in the gene named ",FGF3
disease,intellectual developmental disorder with dysmorphic facies and ptosis,is caused by a mutation in the gene named,The disease intellectual developmental disorder with dysmorphic facies and ptosis is caused by a mutation in the gene named ,BRPF1
disease,"nephrotic syndrome, type 13",is caused by a mutation in the gene named,"The disease nephrotic syndrome, type 13 is caused by a mutation in the gene named ",NUP205
disease,pulmonary alveolar proteinosis,is caused by a mutation in the gene named,The disease pulmonary alveolar proteinosis is caused by a mutation in the gene named ,ABCA3
disease,microcephaly and chorioretinopathy 2,is caused by a mutation in the gene named,The disease microcephaly and chorioretinopathy 2 is caused by a mutation in the gene named ,PLK4
disease,urofacial syndrome,is caused by a mutation in the gene named,The disease urofacial syndrome is caused by a mutation in the gene named ,LRIG2
disease,lethal congenital contracture syndrome 7,is caused by a mutation in the gene named,The disease lethal congenital contracture syndrome 7 is caused by a mutation in the gene named ,CNTNAP1
disease,metatropic dysplasia,is caused by a mutation in the gene named,The disease metatropic dysplasia is caused by a mutation in the gene named ,TRPV4
disease,17-beta-hydroxysteroid dehydrogenase deficiency,is caused by a mutation in the gene named,The disease 17-beta-hydroxysteroid dehydrogenase deficiency is caused by a mutation in the gene named ,HSD17B3
disease,advanced sleep phase syndrome 3,is caused by a mutation in the gene named,The disease advanced sleep phase syndrome 3 is caused by a mutation in the gene named ,PER3
disease,Webb-Dattani syndrome,is caused by a mutation in the gene named,The disease Webb-Dattani syndrome is caused by a mutation in the gene named ,ARNT2
disease,Alzheimer disease 2,is caused by a mutation in the gene named,The disease Alzheimer disease 2 is caused by a mutation in the gene named ,APOE
disease,Charcot-Marie-Tooth disease type 2E,is caused by a mutation in the gene named,The disease Charcot-Marie-Tooth disease type 2E is caused by a mutation in the gene named ,NEFL
disease,Waardenburg syndrome type 3,is caused by a mutation in the gene named,The disease Waardenburg syndrome type 3 is caused by a mutation in the gene named ,PAX3
disease,preimplantation embryonic lethality 1; PREMBL1,is caused by a mutation in the gene named,The disease preimplantation embryonic lethality 1; PREMBL1 is caused by a mutation in the gene named ,TLE6
disease,Charcot-Marie-Tooth disease axonal type 20,is caused by a mutation in the gene named,The disease Charcot-Marie-Tooth disease axonal type 20 is caused by a mutation in the gene named ,DYNC1H1
disease,"seizures, benign familial infantile, 5; BFIS5",is caused by a mutation in the gene named,"The disease seizures, benign familial infantile, 5; BFIS5 is caused by a mutation in the gene named ",SCN8A
disease,Native American myopathy,is caused by a mutation in the gene named,The disease Native American myopathy is caused by a mutation in the gene named ,STAC3
disease,amelogenesis imperfecta type 1G,is caused by a mutation in the gene named,The disease amelogenesis imperfecta type 1G is caused by a mutation in the gene named ,FAM20A
disease,holocarboxylase synthetase deficiency,is caused by a mutation in the gene named,The disease holocarboxylase synthetase deficiency is caused by a mutation in the gene named ,HLCS
disease,Chilblain lupus,is caused by a mutation in the gene named,The disease Chilblain lupus is caused by a mutation in the gene named ,TREX1
disease,RAS-associated autoimmune leukoproliferative disorder,is caused by a mutation in the gene named,The disease RAS-associated autoimmune leukoproliferative disorder is caused by a mutation in the gene named ,NRAS
disease,uveal coloboma-cleft lip and palate-intellectual disability,is caused by a mutation in the gene named,The disease uveal coloboma-cleft lip and palate-intellectual disability is caused by a mutation in the gene named ,YAP1
disease,complex cortical dysplasia with other brain malformations 1,is caused by a mutation in the gene named,The disease complex cortical dysplasia with other brain malformations 1 is caused by a mutation in the gene named ,TUBB3
disease,Charcot-Marie-Tooth disease axonal type 2V,is caused by a mutation in the gene named,The disease Charcot-Marie-Tooth disease axonal type 2V is caused by a mutation in the gene named ,NAGLU
disease,Hydroxyacyl glutathione hydrolase deficiency,is caused by a mutation in the gene named,The disease Hydroxyacyl glutathione hydrolase deficiency is caused by a mutation in the gene named ,HAGH
disease,sirenomelia,is caused by a mutation in the gene named,The disease sirenomelia is caused by a mutation in the gene named ,VANGL1
disease,Hartnup disease,is caused by a mutation in the gene named,The disease Hartnup disease is caused by a mutation in the gene named ,SLC6A19
disease,"heterotaxy, visceral, 8, autosomal; HTX8",is caused by a mutation in the gene named,"The disease heterotaxy, visceral, 8, autosomal; HTX8 is caused by a mutation in the gene named ",PKD1L1
disease,progressive retinal dystrophy due to retinol transport defect,is caused by a mutation in the gene named,The disease progressive retinal dystrophy due to retinol transport defect is caused by a mutation in the gene named ,RBP4
disease,Rothmund-Thomson syndrome type 2,is caused by a mutation in the gene named,The disease Rothmund-Thomson syndrome type 2 is caused by a mutation in the gene named ,RECQL4
disease,"intellectual disability, autosomal recessive 51; MRT51",is caused by a mutation in the gene named,"The disease intellectual disability, autosomal recessive 51; MRT51 is caused by a mutation in the gene named ",histamine N-methyltransferase
disease,pentosuria,is caused by a mutation in the gene named,The disease pentosuria is caused by a mutation in the gene named ,DCXR
disease,Jansky–Bielschowsky disease,is caused by a mutation in the gene named,The disease Jansky–Bielschowsky disease is caused by a mutation in the gene named ,CLN5
disease,hereditary late onset Parkinson disease,is caused by a mutation in the gene named,The disease hereditary late onset Parkinson disease is caused by a mutation in the gene named ,GIGYF2
disease,syndactyly type 8,is caused by a mutation in the gene named,The disease syndactyly type 8 is caused by a mutation in the gene named ,FGF16
disease,ectodermal dysplasia 12,is caused by a mutation in the gene named,The disease ectodermal dysplasia 12 is caused by a mutation in the gene named ,KDF1
disease,long QT syndrome 2,is caused by a mutation in the gene named,The disease long QT syndrome 2 is caused by a mutation in the gene named ,KCNH2
disease,Dimethylglycine dehydrogenase deficiency,is caused by a mutation in the gene named,The disease Dimethylglycine dehydrogenase deficiency is caused by a mutation in the gene named ,DMGDH
disease,TBCK-related intellectual disability syndrome,is caused by a mutation in the gene named,The disease TBCK-related intellectual disability syndrome is caused by a mutation in the gene named ,TBCK
disease,Charcot-Marie-Tooth disease type 2B2,is caused by a mutation in the gene named,The disease Charcot-Marie-Tooth disease type 2B2 is caused by a mutation in the gene named ,MED25
disease,Keratosis linearis with ichthyosis congenital and sclerosing keratoderma syndrome,is caused by a mutation in the gene named,The disease Keratosis linearis with ichthyosis congenital and sclerosing keratoderma syndrome is caused by a mutation in the gene named ,POMP
disease,familial retinal arterial macroaneurysm,is caused by a mutation in the gene named,The disease familial retinal arterial macroaneurysm is caused by a mutation in the gene named ,IGFBP7
disease,spondyloepimetaphyseal dysplasia with multiple dislocations,is caused by a mutation in the gene named,The disease spondyloepimetaphyseal dysplasia with multiple dislocations is caused by a mutation in the gene named ,KIF22
disease,branchiootic syndrome,is caused by a mutation in the gene named,The disease branchiootic syndrome is caused by a mutation in the gene named ,EYA1
disease,"agammaglobulinemia 6, autosomal recessive",is caused by a mutation in the gene named,"The disease agammaglobulinemia 6, autosomal recessive is caused by a mutation in the gene named ",CD79B
disease,"phocomelia, Schinzel type",is caused by a mutation in the gene named,"The disease phocomelia, Schinzel type is caused by a mutation in the gene named ",WNT7A
disease,"surfactant metabolism dysfunction, pulmonary, 5",is caused by a mutation in the gene named,"The disease surfactant metabolism dysfunction, pulmonary, 5 is caused by a mutation in the gene named ",CSF2RB
disease,mitochondrial DNA depletion syndrome 3,is caused by a mutation in the gene named,The disease mitochondrial DNA depletion syndrome 3 is caused by a mutation in the gene named ,DGUOK
disease,orotic aciduria,is caused by a mutation in the gene named,The disease orotic aciduria is caused by a mutation in the gene named ,UMPS
disease,Bamforth-Lazarus syndrome,is caused by a mutation in the gene named,The disease Bamforth-Lazarus syndrome is caused by a mutation in the gene named ,FOXE1
disease,CHARGE syndrome,is caused by a mutation in the gene named,The disease CHARGE syndrome is caused by a mutation in the gene named ,CHD7
disease,"corneal dystrophy, lattice type 3A",is caused by a mutation in the gene named,"The disease corneal dystrophy, lattice type 3A is caused by a mutation in the gene named ",TGFBI
disease,"3-methylglutaconic aciduria, type 8",is caused by a mutation in the gene named,"The disease 3-methylglutaconic aciduria, type 8 is caused by a mutation in the gene named ",HTRA2
disease,methylmalonic aciduria and homocystinuria type cblF,is caused by a mutation in the gene named,The disease methylmalonic aciduria and homocystinuria type cblF is caused by a mutation in the gene named ,LMBRD1
disease,osteoarthritis susceptibility 1,is caused by a mutation in the gene named,The disease osteoarthritis susceptibility 1 is caused by a mutation in the gene named ,FRZB
disease,hereditary spastic paraplegia 33,is caused by a mutation in the gene named,The disease hereditary spastic paraplegia 33 is caused by a mutation in the gene named ,ZFYVE27
disease,aplastic anemia,is caused by a mutation in the gene named,The disease aplastic anemia is caused by a mutation in the gene named ,IFNG
disease,brittle cornea syndrome,is caused by a mutation in the gene named,The disease brittle cornea syndrome is caused by a mutation in the gene named ,PRDM5
disease,Amish lethal microcephaly,is caused by a mutation in the gene named,The disease Amish lethal microcephaly is caused by a mutation in the gene named ,SLC25A19
disease,PAPA syndrome,is caused by a mutation in the gene named,The disease PAPA syndrome is caused by a mutation in the gene named ,PSTPIP1
disease,retinitis pigmentosa 66,is caused by a mutation in the gene named,The disease retinitis pigmentosa 66 is caused by a mutation in the gene named ,RBP3
disease,"aortic aneurysm, familial thoracic 10",is caused by a mutation in the gene named,"The disease aortic aneurysm, familial thoracic 10 is caused by a mutation in the gene named ",LOX
disease,"spondyloepiphyseal dysplasia, Kimberley type",is caused by a mutation in the gene named,"The disease spondyloepiphyseal dysplasia, Kimberley type is caused by a mutation in the gene named ",ACAN
disease,patterned macular dystrophy,is caused by a mutation in the gene named,The disease patterned macular dystrophy is caused by a mutation in the gene named ,CTNNA1
disease,dilated cardiomyopathy 1C,is caused by a mutation in the gene named,The disease dilated cardiomyopathy 1C is caused by a mutation in the gene named ,LDB3
disease,congenital myopathy,is caused by a mutation in the gene named,The disease congenital myopathy is caused by a mutation in the gene named ,HACD1
disease,immunodeficiency-centromeric instability-facial anomalies syndrome 1,is caused by a mutation in the gene named,The disease immunodeficiency-centromeric instability-facial anomalies syndrome 1 is caused by a mutation in the gene named ,DNMT3B
disease,hereditary spastic paraplegia 45,is caused by a mutation in the gene named,The disease hereditary spastic paraplegia 45 is caused by a mutation in the gene named ,NT5C2
disease,Lenz microphthalmia syndrome,is caused by a mutation in the gene named,The disease Lenz microphthalmia syndrome is caused by a mutation in the gene named ,NAA10
disease,platelet-activating factor acetylhydrolase deficiency,is caused by a mutation in the gene named,The disease platelet-activating factor acetylhydrolase deficiency is caused by a mutation in the gene named ,PLA2G7
disease,autosomal dominant nonsyndromic deafness 13,is caused by a mutation in the gene named,The disease autosomal dominant nonsyndromic deafness 13 is caused by a mutation in the gene named ,COL11A2
disease,lissencephaly type 8,is caused by a mutation in the gene named,The disease lissencephaly type 8 is caused by a mutation in the gene named ,TMTC3
disease,progressive nonfluent aphasia,is caused by a mutation in the gene named,The disease progressive nonfluent aphasia is caused by a mutation in the gene named ,GRN
disease,cataract 44,is caused by a mutation in the gene named,The disease cataract 44 is caused by a mutation in the gene named ,LSS
disease,primary ciliary dyskinesia-retinitis pigmentosa syndrome,is caused by a mutation in the gene named,The disease primary ciliary dyskinesia-retinitis pigmentosa syndrome is caused by a mutation in the gene named ,RPGR
disease,mucopolysaccharidosis IX,is caused by a mutation in the gene named,The disease mucopolysaccharidosis IX is caused by a mutation in the gene named ,HYAL1
disease,Noonan syndrome-like disorder with juvenile myelomonocytic leukemia,is caused by a mutation in the gene named,The disease Noonan syndrome-like disorder with juvenile myelomonocytic leukemia is caused by a mutation in the gene named ,CBL
disease,multiple sclerosis,is caused by a mutation in the gene named,The disease multiple sclerosis is caused by a mutation in the gene named ,RELN
disease,dilated cardiomyopathy 1M,is caused by a mutation in the gene named,The disease dilated cardiomyopathy 1M is caused by a mutation in the gene named ,CSRP3
disease,Hirschsprung's disease,is caused by a mutation in the gene named,The disease Hirschsprung's disease is caused by a mutation in the gene named ,NRG1
disease,autosomal recessive spinocerebellar ataxia 15,is caused by a mutation in the gene named,The disease autosomal recessive spinocerebellar ataxia 15 is caused by a mutation in the gene named ,RUBCN
disease,primary ciliary dyskinesia 23,is caused by a mutation in the gene named,The disease primary ciliary dyskinesia 23 is caused by a mutation in the gene named ,ARMC4
disease,"spondyloepimetaphyseal dysplasia, aggrecan type",is caused by a mutation in the gene named,"The disease spondyloepimetaphyseal dysplasia, aggrecan type is caused by a mutation in the gene named ",ACAN
disease,mevalonic aciduria,is caused by a mutation in the gene named,The disease mevalonic aciduria is caused by a mutation in the gene named ,MVK
disease,Wolfram-like syndrome,is caused by a mutation in the gene named,The disease Wolfram-like syndrome is caused by a mutation in the gene named ,WFS1
disease,autosomal dominant nonsyndromic deafness 56,is caused by a mutation in the gene named,The disease autosomal dominant nonsyndromic deafness 56 is caused by a mutation in the gene named ,TNC
disease,cataract 2 multiple types,is caused by a mutation in the gene named,The disease cataract 2 multiple types is caused by a mutation in the gene named ,CRYGC
disease,dystonia 9,is caused by a mutation in the gene named,The disease dystonia 9 is caused by a mutation in the gene named ,SLC2A1
disease,"agammaglobulinemia 8, autosomal dominant",is caused by a mutation in the gene named,"The disease agammaglobulinemia 8, autosomal dominant is caused by a mutation in the gene named ",TCF3
disease,tall stature-scoliosis-macrodactyly of the great toes syndrome,is caused by a mutation in the gene named,The disease tall stature-scoliosis-macrodactyly of the great toes syndrome is caused by a mutation in the gene named ,NPR2
disease,Bardet-Biedl syndrome 3,is caused by a mutation in the gene named,The disease Bardet-Biedl syndrome 3 is caused by a mutation in the gene named ,ARL6
disease,lethal congenital contracture syndrome 6,is caused by a mutation in the gene named,The disease lethal congenital contracture syndrome 6 is caused by a mutation in the gene named ,ZBTB42
disease,"precocious puberty, central, 2",is caused by a mutation in the gene named,"The disease precocious puberty, central, 2 is caused by a mutation in the gene named ",MKRN3
disease,transient infantile hypertriglyceridemia and hepatosteatosis,is caused by a mutation in the gene named,The disease transient infantile hypertriglyceridemia and hepatosteatosis is caused by a mutation in the gene named ,GPD1
